intention_id,barrier_id
309,1
241,4
77,4
137,6
254,11
101,3
316,9
41,8
200,4
39,6
195,8
207,6
55,4
308,11
307,3
60,11
203,6
45,1
291,10
312,9
120,3
168,6
168,7
95,3
96,10
95,8
57,4
198,9
200,2
224,8
127,6
39,1
55,11
193,5
20,2
186,4
302,11
227,4
246,4
179,4
284,3
196,7
308,4
129,3
76,8
250,2
169,1
59,10
100,11
62,1
233,10
40,7
298,4
101,6
8,11
133,6
107,7
103,4
144,5
158,2
190,1
157,5
157,1
96,7
43,9
195,2
90,10
56,3
172,3
130,7
159,11
20,8
63,5
27,3
76,10
257,11
252,4
318,6
133,7
199,9
117,8
181,1
197,5
26,3
260,6
18,9
111,5
57,6
96,3
141,4
39,4
297,8
63,2
108,3
241,7
271,11
91,8
161,6
292,7
170,7
25,8
174,9
218,2
101,10
313,4
62,4
85,2
13,6
219,1
170,3
74,4
125,9
238,7
221,3
17,11
219,2
245,5
90,4
188,4
110,9
69,8
230,7
52,5
79,10
164,3
27,2
28,2
263,6
3,2
5,6
116,3
223,7
197,7
49,10
235,8
312,10
293,10
267,11
296,1
117,2
30,9
167,2
214,10
275,3
305,5
258,8
287,10
123,6
13,7
187,5
206,1
225,6
263,7
49,1
237,10
7,6
127,2
26,9
5,8
311,7
176,3
2,10
289,9
287,8
227,3
78,11
25,3
219,9
131,8
177,5
18,1
139,8
