intention_id,title,motivation,date_created,perceived_importance,urgency,personal_interest,career_relevance,estimated_effort_hours,has_deadline,deadline_date,category_id
1,Learn SQL properly,Personal growth,2025-01-29,3.0,2.0,4.0,4.0,6.6,True,2025-04-10,7
2,Practice a new software tool weekly,Career advancement,2023-03-31,2.0,4.0,4.0,1.0,13.3,False,,7
3,Apply to 10 jobs abroad,Career advancement,2023-08-12,2.0,2.0,3.0,1.0,1.7,True,2024-01-27,1
4,Prototype a small app idea,Obligation / should-do,2025-01-03,2.0,1.0,3.0,1.0,2.3,False,,9
5,Start sketching daily,Personal growth,2024-08-26,4.0,2.0,3.0,1.0,5.0,True,2024-09-10,2
6,Plan a date night routine,Health & wellbeing,2023-10-12,3.0,1.0,3.0,1.0,6.3,True,2024-01-20,8
7,Study for a certification exam,Curiosity / fun,2023-04-10,2.0,4.0,3.0,1.0,17.1,False,,7
8,Start a puzzle-solving habit,Health & wellbeing,2025-04-06,1.0,2.0,1.0,1.0,9.7,True,2025-08-15,5
9,Plan a family visit,Curiosity / fun,2024-07-19,4.0,2.0,3.0,1.0,2.2,False,,8
10,Try a new recipe every week,Financial security,2024-12-22,2.0,2.0,4.0,1.0,1.7,True,2025-06-23,5
11,CREATE A MONTHLY BUDGET,Obligation / should-do,2025-05-25,3.0,2.0,2.0,3.0,20.7,True,2025-07-03,3
12,Learn the basics of investing,Personal growth,2024-10-12,4.0,,3.0,2.0,19.6,False,,3
13,Set up a filing system,Health & wellbeing,2023-08-03,2.0,2.0,2.0,1.0,17.0,False,,6
14,Start journaling regularly,Personal growth,2024-06-30,4.0,2.0,4.0,1.0,4.6,False,,5
15,Create a travel budget,Financial security,2023-10-04,3.0,4.0,3.0,3.0,0.8,False,,10
16,Declutter the apartment,Curiosity / fun,2023-08-23,4.0,2.0,3.0,1.0,1.4,False,,6
17,Send a thank-you note,Curiosity / fun,2023-03-09,2.0,3.0,5.0,1.0,3.9,True,2023-08-15,8
18,Learn a new design software,Creative expression,2024-02-10,2.0,3.0,3.0,1.0,13.0,False,,2
19,Start a home workout routine,Social connection,2023-05-23,3.0,3.0,2.0,1.0,,True,2023-10-27,4
20,Start a small garden,Financial security,2024-08-20,1.0,2.0,3.0,1.0,6.6,False,,5
21,Start meditating daily,Health & wellbeing,2024-05-20,1.0,2.0,2.0,1.0,7.1,True,2024-06-15,4
22,Improve sleep schedule,Health & wellbeing,2025-03-22,3.0,4.0,3.0,,7.6,False,,4
23,Reconnect with a former colleague,Social connection,2024-09-02,,2.0,3.0,4.0,6.9,False,,8
24,Build a personal data project,Social connection,2024-11-27,3.0,2.0,1.0,4.0,16.1,False,,9
25,Renew an expiring document,Creative expression,2023-10-28,4.0,1.0,5.0,1.0,13.8,False,,6
26,Ask for a performance review,Health & wellbeing,2024-05-27,5.0,1.0,2.0,2.0,5.2,False,,1
27,Pay off a small debt,Personal growth,2023-06-06,1.0,2.0,2.0,3.0,3.6,False,,3
28,Start a small blog,Career advancement,2024-09-05,4.0,1.0,3.0,3.0,2.7,False,,9
29,Read one book on statistics,Social connection,2025-06-18,3.0,4.0,1.0,2.0,10.3,False,,7
30,Finish a painting series,Health & wellbeing,2023-09-04,4.0,1.0,1.0,2.0,10.7,False,,2
31,Learn basic public speaking,Personal growth,2024-05-12,3.0,3.0,2.0,2.0,10.6,False,,7
32,Learn to cook healthier meals,Personal growth,2024-05-01,2.0,4.0,3.0,1.0,14.7,False,,4
33,Compare insurance providers,Financial security,2025-06-12,2.0,3.0,4.0,1.0,19.4,False,,3
34,Contribute to an open-source project,Social connection,2025-01-17,3.0,3.0,5.0,2.0,4.1,False,,9
35,Join a local social group,Creative expression,2024-10-27,,1.0,3.0,,10.5,False,,8
36,LEARN CONVERSATIONAL SPANISH,Financial security,2023-08-19,4.0,2.0,5.0,2.0,94.5,True,2023-09-07,7
37,Learn basic woodworking,Career advancement,2023-01-08,3.0,1.0,2.0,2.0,6.7,True,2023-07-02,5
38,WRITE SHORT STORIES WEEKLY,Health & wellbeing,2023-02-02,3.0,3.0,3.0,1.0,2.1,False,,2
39,Start a freelance side gig,Financial security,2023-10-13,2.0,3.0,3.0,1.0,9.5,False,,9
40,BUILD AN AUTOMATION SCRIPT,Creative expression,2025-01-10,3.0,1.0,3.0,2.0,2.9,False,,9
41,Try a new craft technique,Health & wellbeing,2025-04-06,3.0,3.0,4.0,2.0,2.4,False,,2
42,Learn touch typing,Creative expression,2023-12-29,2.0,3.0,4.0,3.0,261.8,False,,7
43,Get a professional certification,Curiosity / fun,2023-03-04,3.0,3.0,4.0,3.0,6.1,False,,1
44,Finish an online Python course,Personal growth,2023-07-16,4.0,1.0,3.0,1.0,8.8,True,2023-11-21,7
45,Write a long-overdue message,Health & wellbeing,2023-10-13,5.0,1.0,4.0,1.0,5.3,False,,8
