log_id,intention_id,title,category,motivation,date_created,event_date,event_type,hours_spent,perceived_importance,urgency,personal_interest,career_relevance,estimated_effort_hours,has_deadline,deadline_date,note
1,172,Call an old friend,Relationship,Creative expression,2023-07-12,05/08/2023,Research,0.6,2.0,1.0,3.0,1.0,14.4,False,,
2,21,start meditating daily,fitness/health,Health & wellbeing,05-20-2024,20/05/2024,created,0.0,1.0,2.0,2.0,1.0,7.1,True,2024-06-15,
3,309,Plan a weekend getaway, Travel,Obligation / should-do,03-07-2025,04-18-2025,delayed,0.0,3.0,4.0,5.0,1.0,,FALSE,,Lack of time
4,33,Compare insurance providers,Financial,Financial security,2025-06-12,2025/06/12,New,0.0,,3.0,4.0,,19.4,no,,
5,287,Plan a road trip route,Travel,Creative expression,2024-10-29,2024/10/29,New,0.0,3.0,3.0,4.0,1.0,7.0,Y,2025-04-15,
6,61,Learn basic calligraphy,hobby,Social connection,2024/11/14,04 Dec 2024,RESEARCHED,0.2,2.0,1.0,4.0,2.0,8.0,0,,
7,157,research a relocation destination,Travel,Financial security,04/12/2024,13 Jun 2025,Done!,0.0,3.0,1.0,3.0,2.0,13.5,True,2025-02-23,
8,266,Pay off a small debt,Finance,Obligation / should-do,12-02-2023,31/12/2023,Researched,0.3,very low,1.0,3.0,1.0,,Y,2024-04-21,
9,185,Start a photography project,CREATIVE ,Obligation / should-do,08-08-2024,2024/09/11,researching,1.6,4.0,1.0,3.0,1.0,23.9,0,,
10,241,Start journaling regularly,hobby,Curiosity / fun,03-09-2023,27/05/2023,ABANDONED,0.0,3.0,2.0,3.0,,,Yes,2023-08-29,Unclear next step
11,60,start a photography project,Creativity,Social connection,10-19-2023,2024-04-02,Continued,1.9,2.0,3.0,3.0,2.0,14.4,yes,2024-03-20,
12,170,Research a relocation destination, Travel,Obligation / should-do,2023/11/19,2024-02-06,CONTINUED,2.4,3.0,2.0,5.0,1.0,5.1,Yes,2024-01-01,
13,282,Learn to cook healthier meals,fitness/health,Social connection,03-11-2023,2023/08/29,Completed,0.0,2.0,1.0,5.0,,6.5,False,,
14,207, Collect and organize a hobby set  ,Hobby,Social connection,2025-05-02,05-22-2025,researching,,2.0,1.0,3.0,2.0,5.3,FALSE,,
15,77,Reorganize the wardrobe,Home & Admin,Curiosity / fun,04/06/2025,07-15-2025,postponed,0.0,2.0,1.0,1.0,1.0,4.1,Y,2025-08-28,Unclear next step
16,168,Learn conversational Spanish,Learning&Skills,Creative expression,04/12/2023,01-14-2024,researching,1.0,3.0,4.0,2.0,,6.7,0,,
17,291,FIX A RECURRING HOUSEHOLD ISSUE,Home and Admin,Curiosity / fun,02-01-2024,15 Jul 2024,Completed,0.0,3.0,4.0,3.0,4.0,13.6,N,,
18,32,Learn to cook healthier meals,fitness/health,Personal growth,01/05/2024,01 May 2024,New,0.0,2.0,4.0,3.0,1.0,14.7,no,,
19,26,Ask for a performance review, Career,Health & wellbeing,2024-05-27,2024/10/31,CONTINUED,1.5,5.0,1.0,2.0,2.0,5.2,FALSE,,
20,20,Start a small garden,Hobbies,Financial security,2024-08-20,10 Apr 2025,CONTINUED,2.9,1.0,2.0,3.0,1.0,6.6,0,,
21,11,CREATE A MONTHLY BUDGET,FINANCIAL,Obligation / should-do,2025/05/25,25/05/2025,New,0.0,3.0,2.0,2.0,3.0,20.7,1,2025-07-03,
22,88,Reduce screen time before bed,fitness/health,Career advancement,08-05-2024,17 Aug 2024,RESEARCHED,1.5,3.0,4.0,1.0,1.0,7.8,FALSE,,
23,112,JOIN A LOCAL SOCIAL GROUP,RELATIONSHIPS,Health & wellbeing,2024-07-31,2024/09/18,Began,0.0,2.0,,2.0,1.0,5.6,0,,
