event_id,intention_id,event_date,event_type,hours_spent,note
1,172,2023-08-05,RESEARCHED,0.6,
2,21,2024-05-20,CREATED,0.0,
3,309,2025-04-18,POSTPONED,0.0,Lack of time
4,33,2025-06-12,CREATED,0.0,
5,287,2024-10-29,CREATED,0.0,
6,61,2024-12-04,RESEARCHED,0.2,
7,157,2025-06-13,COMPLETED,0.0,
8,266,2023-12-31,RESEARCHED,0.3,
9,185,2024-09-11,RESEARCHED,1.6,
10,241,2023-05-27,ABANDONED,0.0,Unclear next step
11,60,2024-04-02,CONTINUED,1.9,
12,170,2024-02-06,CONTINUED,2.4,
13,282,2023-08-29,COMPLETED,0.0,
14,207,2025-05-22,RESEARCHED,0.0,
15,77,2025-07-15,POSTPONED,0.0,Unclear next step
16,168,2024-01-14,RESEARCHED,1.0,
17,291,2024-07-15,COMPLETED,0.0,
18,32,2024-05-01,CREATED,0.0,
19,26,2024-10-31,CONTINUED,1.5,
20,20,2025-04-10,CONTINUED,2.9,
21,11,2025-05-25,CREATED,0.0,
22,88,2024-08-17,RESEARCHED,1.5,
23,112,2024-09-18,STARTED,0.0,
24,31,2024-05-19,RESEARCHED,0.5,
25,306,2024-04-15,CONTINUED,0.7,
26,68,2025-05-27,RESEARCHED,0.4,
27,212,2023-10-14,CONTINUED,2.5,
28,258,2024-01-14,CREATED,0.0,
29,223,2024-02-11,RESEARCHED,7.8,
30,137,2023-05-19,POSTPONED,0.0,Competing priorities
31,299,2023-03-02,STARTED,0.0,
32,268,2025-07-16,COMPLETED,0.0,
33,209,2025-01-12,RESEARCHED,0.9,
34,74,2025-04-26,RESEARCHED,1.2,
35,49,2024-02-12,CONTINUED,0.0,
36,17,2023-05-07,RESEARCHED,1.3,
37,254,2023-03-29,POSTPONED,0.0,Overestimated effort required
38,49,2023-11-29,PLANNED,0.0,
39,122,2024-02-13,RESEARCHED,1.8,
40,60,2024-02-10,CONTINUED,0.6,
41,196,2025-04-10,RESEARCHED,1.1,
42,158,2024-08-02,RESEARCHED,1.9,
43,30,2023-10-28,PLANNED,0.0,
44,273,2025-05-31,RESEARCHED,0.4,
45,101,2024-10-05,RESEARCHED,1.3,
46,189,2024-04-21,RESEARCHED,0.7,
47,7,2023-05-26,RESEARCHED,1.5,
48,57,2025-04-02,RESEARCHED,1.0,
49,1,2025-02-19,RESEARCHED,4.6,
50,277,2023-08-28,COMPLETED,0.0,
51,199,2024-06-05,RESEARCHED,0.2,
52,159,2023-05-12,STARTED,0.0,
53,101,2025-05-01,ABANDONED,0.0,Lack of motivation
54,18,2024-03-05,RESEARCHED,0.4,
55,222,2023-06-21,CONTINUED,1.3,
56,209,2024-12-20,RESEARCHED,0.9,
57,225,2024-02-22,CREATED,0.0,
58,38,2023-02-02,CREATED,0.0,
59,39,2023-11-27,RESEARCHED,1.6,
60,316,2024-06-11,ABANDONED,0.0,Low energy / burnout
61,91,2024-04-13,CONTINUED,1.8,
62,306,2023-12-14,STARTED,0.0,
63,222,2023-07-02,REPLACED,0.0,Replaced by a different priority
64,69,2023-06-22,CONTINUED,8.3,
65,180,2025-03-02,CREATED,0.0,
66,162,2025-06-29,CREATED,0.0,
67,60,2024-01-18,CONTINUED,0.4,
68,260,2023-02-28,RESEARCHED,0.2,
69,20,2025-02-08,CONTINUED,2.9,
70,41,2025-07-05,POSTPONED,0.0,Blocked by dependency
71,214,2025-06-17,CONTINUED,0.3,
72,244,2025-07-19,RESEARCHED,0.7,
73,232,2025-04-15,PLANNED,0.0,
74,26,2024-07-20,STARTED,0.0,
75,77,2025-07-27,STARTED,0.0,
76,309,2025-06-24,CONTINUED,6.1,
77,281,2023-12-07,RESEARCHED,3.0,
78,200,2025-01-20,CONTINUED,0.3,
79,28,2024-11-08,RESEARCHED,4.2,
80,11,2025-07-06,STARTED,0.0,
81,197,2024-02-02,CONTINUED,2.9,
82,173,2023-07-28,CREATED,0.0,
83,196,2025-03-26,CREATED,0.0,
84,296,2023-06-07,RESEARCHED,1.3,
85,50,2023-11-17,RESEARCHED,3.1,
86,252,2025-06-07,RESEARCHED,0.7,
87,173,2023-08-01,RESEARCHED,0.3,
88,254,2023-04-22,STARTED,0.0,
89,82,2023-09-18,CREATED,0.0,
90,200,2024-11-21,POSTPONED,0.0,Unclear next step
91,319,2025-05-05,CREATED,0.0,
92,279,2023-06-06,CREATED,0.0,
93,285,2024-12-06,RESEARCHED,0.3,
94,168,2023-12-04,CREATED,0.0,
95,185,2024-08-08,CREATED,0.0,
96,142,2025-01-26,CREATED,0.0,
97,197,2023-10-10,RESEARCHED,2.7,
98,30,2023-11-23,STARTED,0.0,
99,9,2024-07-19,CREATED,0.0,
100,60,2023-11-26,PLANNED,0.0,
101,108,2025-05-04,CONTINUED,0.8,
102,197,2023-09-22,RESEARCHED,1.7,
103,99,2025-05-14,RESEARCHED,2.0,
104,233,2023-05-14,CREATED,0.0,
105,11,2025-07-03,PLANNED,0.0,
106,71,2024-09-27,CREATED,0.0,
107,215,2023-06-06,RESEARCHED,0.0,
108,11,2025-06-16,RESEARCHED,1.1,
109,180,2025-04-06,RESEARCHED,1.8,
110,39,2024-04-24,POSTPONED,0.0,Competing priorities
111,184,2024-01-22,CREATED,0.0,
112,105,2023-07-31,CREATED,0.0,
113,218,2025-05-02,RESEARCHED,0.6,
114,157,2024-12-25,RESEARCHED,0.0,
115,267,2024-06-10,CONTINUED,6.1,
116,15,2023-11-07,RESEARCHED,2.8,
117,195,2025-01-06,POSTPONED,0.0,Blocked by dependency
118,257,2023-08-09,CREATED,0.0,
119,207,2025-05-29,POSTPONED,0.0,Competing priorities
120,24,2024-11-27,CREATED,0.0,
121,111,2023-06-21,RESEARCHED,2.4,
